ID,Data Type,Username,Number of followers,Number of following,Description,Number of Likes,URL
18,Slideshow,mikeescamilla,116k,"1,708","SOLD OUT !!!! LIMITED PRINTS !!! Inspired by my RIDE magazine cover, I’ve partnered with Radical Rick creator Damian Fulton to release this signed and numbered limited edition print ""RADICAL ROOFTOP"". Printed on heavy semi-gloss card stock, there are only 40 of these 17“ x 11“ images, each one is hand-signed by both of us and has an embossed “Certified Rad/ Radical Rick” in the lower right corner. It’s a faithful reproduction of the watercolor original from my personal collection and commemorates Radical Ricks's 40th anniversary. Because of its exclusive nature, sorry but there is a limit of 1 per person, and it’s only available to those persnickety enough to follow the rules of engagement precisely!

Rules of engagement: This ROOFTOP print is only available to purchase starting at 10 AM Pacific time today by sending a payment to my PayPal address via PayPal FRIENDS ANS FAMILY !! Orders received before 10 AM will be DQed and immediately refunded. You must include your name, mailing address, and email. Read that again. If you are one of the 40, we’re stoked for you, and you’ll receive a congratulatory confirmation email within 24 hours of your order. 

The ROOFTOP print including shipping and handling in the US is $60. Foreign orders $70. Shipped in a tube via USPS, (easily flatted overnight with a few b","2,247",https://www.instagram.com/p/CEcK9eunEYS/
19,Image,mikeescamilla,116k,"1,708",Dying to live... 6am skyfall trying remember who I am. #betheadventure #gopro #gpathlete @gopro @airwalk @s1helmets #livin #skydive #hotairballoon good times with @briancavallaro @brandonlillard @robbiemaddison,"1,344",https://www.instagram.com/p/CEaMA79nyVh/
20,Video,mikeescamilla,116k,"1,708","LIMITED EDITION PRINTS: Inspired by my RIDE magazine cover, I’ve partnered with Radical Rick creator Damian Fulton ( @damianfulton )to release this signed and numbered limited edition print ""ROOFTOP"". Printed on heavy semi-gloss card stock, there are only 40 of these 17“ x 11“ images, each one is hand-signed by both of us and has an embossed “Certified Rad/ Radical Rick” in the lower right corner. It’s a faithful reproduction of the watercolor original from my personal collection and commemorates Radical Ricks's 40th anniversary. Because of its exclusive nature, sorry but there is a limit of 1 per person, and it’s only available to those persnickety enough to follow the rules of engagement precisely!
Rules of engagement: This ROOFTOP print is only available to purchase on the morning of August 28th starting at 10 AM Pacific time by sending a payment to my PayPal address ( Youbetheadventure@gmail.com) via PayPal. Orders received before 10 AM will be DQed and immediately refunded. You must include your name, mailing address, and email. Read that again. If you are one of the 40, we’re stoked for you, and you’ll receive a congratulatory confirmation email within 24 hours of your order. 
The ROOFTOP print including shipping and handling in the US is $60. Foreign orders $70. Shipped in a tube via USPS, (easily flatted overnight with a few books on a table). Orders are shipped the following Monday.  Good Luck! #betheadventure #radicalrick #bmx",,https://www.instagram.com/p/CEXb0ycHoKM/
21,Video,mikeescamilla,116k,"1,708","Happy Birthday Pablo. You would of been 40 today.

It’s been 238 days since I lost my youngest brother on New Years Eve. There hasn’t been a day that goes by that I don’t think about him and not a week that goes by that I don’t find myself in tears driving alone in the car or up late at night trying to fall asleep. I haven’t spoke at all about this publicly cause there were no words to describe the feeling in my gut and heart. Not sure there is yet either but as today grew closer I just felt the need to celebrate you... I miss you, we were not super close but that didn’t stop you from trying...and calling me at inappropriate times just to say I love you and to tell me about your day. You lived 650 miles away for the over half our lives. To hear how your close friends and the town spoke about you it’s clear I truly missed out on that wonderful heart of yours.. I have a tidal wave of emotion writing this and so much to say to you and about who you are. But I’m still not quite there.... I love you Pablo... Happy Birthday... we miss you... ❤️",,https://www.instagram.com/p/CEUukIYn1EK/
22,Image,mikeescamilla,116k,"1,708",Anybody else feel like this on Monday’s ? #betheadventure #basejumping @gopro @gopro #gpathlete,"1,594",https://www.instagram.com/p/CEStJMVHOVY/
23,Slideshow,mikeescamilla,116k,"1,708",Old Polaroids from an old photo shoot from probably 20 years ago... #babymike #betheadventure,"1,827",https://www.instagram.com/p/CEHjDpnH-2H/
24,Image,mikeescamilla,116k,"1,708",Can’t wait for more adventures with #lunaberlin ... hope we get another one in soon. #dad #daughter #roadtrip ##betheadventure photo @outsidetv,957,https://www.instagram.com/p/CEC-r3Sn8EF/
25,Image,mikeescamilla,116k,"1,708",I rarely ride skateparks anymore... but I got to ride this one last night... had fun. Had an epiphany about my bike riding past and future. and life in general... weird what triggers those thoughts... anyways stoked I get to pedal when I get to. Thanks @jeffkgipson for the photo. #bmx #betheadventure #skatepark #gopro @gopro #gpathlete,"1,484",https://www.instagram.com/p/CDzC1VPHnp7/
26,Image,mikeescamilla,116k,"1,708",Frosting... #betheadventure #gopro #gpathlete @gopro #emptypools @desertskateranch 📸 @deandickinson_,"1,518",https://www.instagram.com/p/CDwuEoMnfNU/
27,Image,mikeescamilla,116k,"1,708",Jumping into 43... #betheadventure #skydive #bday @skydiveelsinore #gopro @gopro #gpathlete,"1,712",https://www.instagram.com/p/CDpOiyvnzwH/
28,Video,mikeescamilla,116k,"1,708",Finally left my house and got a few hours in at @desertskateranch - so fun - been 2 months since I rode felt good to sweat it out in the 103 desert heat.. also I almost died ha #betheadventure #gopro #gpathlete @gopro #emptypools #bmx thx @deandickinson_ for filming ...,,https://www.instagram.com/p/CDh69MJnTQk/
29,Image,mikeescamilla,116k,"1,708",Would you ? #betheadventure #helicopter @helijim @keepbleedingpodcast @elreynetwork,"1,304",https://www.instagram.com/p/CDeWn7GnlAF/
30,Image,mikeescamilla,116k,"1,708",A moment of calm during the storm.... #betheadventure #bmx #keepbleedingpodcast,"1,648",https://www.instagram.com/p/CDNFo6Age40/
31,Image,mikeescamilla,116k,"1,708",Summertime at its best... #lunaberlin #betheadventure #savage - she didn’t even know it was bleeding...,"2,617",https://www.instagram.com/p/CDKUb0IAMhA/
